Speaker,Utterance,Dialogue_Act,classID,Idx,tokenNum,labels,change_speaker,context
b,um yes,ackn,1,0,2,L1,1,@ um yes
b,um i'm in a bit of a jedder with my bill,inform,21,1,11,L21,0,@ um yes @ um i'm in a bit of a jedder with my bill
b,and i was wondering if you could tell me how much i've paid at the post office with my credit card,direct,10,2,21,L10,0,@ um i'm in a bit of a jedder with my bill @ and i was wondering if you could tell me how much i've paid at the post office with my credit card
b,i think i'm a bit behind on my payments,expressOpinion,14,3,9,L14,0,@ and i was wondering if you could tell me how much i've paid at the post office with my credit card @ i think i'm a bit behind on my payments
a,right,ackn,1,4,1,L1,1,# i think i'm a bit behind on my payments @ right
a,um can you just bear with me,hold,19,5,7,L19,0,@ right @ um can you just bear with me
a,cos my computer is not up and running at the moment,inform,21,6,11,L21,0,@ um can you just bear with me @ cos my computer is not up and running at the moment
a,have you got your customer number,reqInfo,33,7,6,L33,0,@ cos my computer is not up and running at the moment @ have you got your customer number
b,okay,backch,5,8,1,L5,1,# have you got your customer number @ okay
b,oh god,exclaim,13,9,2,L13,0,@ okay @ oh god
b,no,answ,2,10,1,L2,0,@ oh god @ no
a,yeah,ackn,1,11,1,L1,1,# no @ yeah
a,you would need that,inform,21,12,4,L21,0,@ yeah @ you would need that
a,i can't discuss any aspect of the bill unfortunately without the customer number,inform,21,13,13,L21,0,@ you would need that @ i can't discuss any aspect of the bill unfortunately without the customer number
b,will that be on card,reqInfo,33,14,5,L33,1,# i can't discuss any aspect of the bill unfortunately without the customer number @ will that be on card
b,i got my card handy,inform,21,15,5,L21,0,@ will that be on card @ i got my card handy
a,let me have a look right just bear with me um what have you got on the card right let me have look sorry about this but um i can't even look,hold,19,16,32,L19,1,# i got my card handy @ let me have a look right just bear with me um what have you got on the card right let me have look sorry about this but um i can't even look
a,just bear with me um,hold,19,17,5,L19,0,@ let me have a look right just bear with me um what have you got on the card right let me have look sorry about this but um i can't even look @ just bear with me um
a,what have you got on the card,reqInfo,33,18,7,L33,0,@ just bear with me um @ what have you got on the card
b,hang on,hold,19,19,2,L19,1,# what have you got on the card @ hang on
b,um i'll get it out my little goody here oh got a load of numbers oh please don't tell me i've got to go look for my other past bills please,informIntent,24,20,31,L24,0,@ hang on @ um i'll get it out my little goody here oh got a load of numbers oh please don't tell me i've got to go look for my other past bills please
b,oh got a load of numbers,inform,21,21,6,L21,0,@ um i'll get it out my little goody here oh got a load of numbers oh please don't tell me i've got to go look for my other past bills please @ oh got a load of numbers
a,right,ackn,1,22,1,L1,1,# oh got a load of numbers @ right
a,let me have look,hold,19,23,4,L19,0,@ right @ let me have look
b,oh please don't tell me i've got to go look for my other past bills please,direct,10,24,16,L10,1,# let me have look @ oh please don't tell me i've got to go look for my other past bills please
a,sorry about this,expressRegret,16,25,3,L16,1,# oh please don't tell me i've got to go look for my other past bills please @ sorry about this
a,but um i can't even look at your details at the moment,inform,21,26,12,L21,0,@ sorry about this @ but um i can't even look at your details at the moment
a,just trying to get it up and working,informIntent-hold,38,27,8,L38,0,@ but um i can't even look at your details at the moment @ just trying to get it up and working
a,it's i've had a problem with it this morning what is your telephone number anyway yeah yeah,inform,21,28,17,L21,0,@ just trying to get it up and working @ it's i've had a problem with it this morning what is your telephone number anyway yeah yeah
a,what is your telephone number anyway,reqInfo,33,29,6,L33,0,@ it's i've had a problem with it this morning what is your telephone number anyway yeah yeah @ what is your telephone number anyway
a,yeah,ackn,1,30,1,L1,0,@ what is your telephone number anyway @ yeah
a,yeah,ackn,1,31,1,L1,0,@ yeah @ yeah
b,oh hello,greet,18,32,2,L18,1,# yeah @ oh hello
